section,key,value,extra1,extra2,extra3
config,level,32
config,gems,369
config,tick_seconds,4.9
config,cells_per_tick,3.32e102
config,current_cells,4.07e103

generator,mk1_owned,1.18e63
generator,mk1_cost,1.05e104

generator,mk2_owned,3.93e41
generator,mk2_cost,1.55e104
generator,mk2_prod,2.75e61
generator,mk2_target,mk1

generator,mk3_owned,265.25e21
generator,mk3_cost,1.46e105
generator,mk3_prod,6.00e39
generator,mk3_target,mk2

generator,mk4_owned,26.13e9
generator,mk4_cost,3.65e104
generator,mk4_prod,2.17e15
generator,mk4_target,mk3

generator,mk5_owned,27
generator,mk5_cost,5.88e105
generator,mk5_prod,111.56e6
generator,mk5_target,mk4

booster,mk1_multiplier,1.17
booster,mk1_next_cost,18
booster,mk1_base_gain,0.02
booster,mk1_cost_increase,0

booster,mk2_multiplier,1.22
booster,mk2_next_cost,30
booster,mk2_base_gain,0.04
booster,mk2_cost_increase,0

booster,mk3_multiplier,1.26
booster,mk3_next_cost,42
booster,mk3_base_gain,0.06
booster,mk3_cost_increase,0

booster,mk4_multiplier,1.85
booster,mk4_next_cost,72
booster,mk4_base_gain,0.08
booster,mk4_cost_increase,4

booster,mk5_multiplier,2.59
booster,mk5_next_cost,100
booster,mk5_base_gain,0.10
booster,mk5_cost_increase,5

booster,cells_multiplier,1.95
booster,cells_next_cost,203
booster,cells_base_gain,0.25
booster,cells_cost_increase,1

booster,mp_multiplier,1.14
booster,mp_next_cost,320
booster,mp_base_gain,0.07
booster,mp_cost_increase,0

booster,shards_multiplier,1.07
booster,shards_next_cost,420
booster,shards_base_gain,0.07
booster,shards_cost_increase,0

card,alpha,cost=owned,cells=1.3,mk1=1.78,mk2=1.54
card,beta,cost=owned,mk1=1.54,mk2=1.54,mk3=1.54
card,ceti,cost=owned,cells=1.24,mk3=1.32,mp=1.08

card,delta,cost=1500,cells=2.3,mk2=1.14,mk3=1.14
card,epsilon,cost=1500,mk1=1.52,mk2=1.52,mk4=1.44
card,fenix,cost=1500,cells=1.16,mk4=1.5,mp=1.07

card,gamma,cost=2000,cells=2.4,mk3=1.34,mk5=1.34
card,helion,cost=2000,mk1=1.68,mk2=1.68,mp=1.13
card,ixion,cost=2000,mk4=1.64,mk5=1.52,mp=1.16

card,juno,cost=2500,cells=1.65,shards=1.45,mp=1.25
card,lyra,cost=2500,mk2=2.16,mk5=2.12,shards=1.5
